Weigth	Heigth
53.09817	168.9792
60.2536	154.0794
60.57112	178.5135
53.55212	145.6071
63.95424	145.1823
68.62175	146.6526
59.3937	150.1703
54.85139	154.1393
56.18212	211.1142
57.94596	155.6074
60.05633	180.7278
56.65037	153.8238
59.14473	160.6151
60.85186	172.8011
63.4691	168.2495
68.87719	190.7063
53.22856	193.0385
61.98031	152.1141
61.3466	178.4211
70.6553	162.0479
53.94735	138.9784
65.30227	178.686
67.90827	177.2521
60.19456	182.7935
63.14799	168.6113
50.74211	161.106
54.37209	149.4436
61.80647	162.5439
66.44006	204.6559
69.32612	180.8448
56.43465	166.6911
59.92681	162.9765
67.89035	159.6578
50.20544	162.7743
65.17708	162.8984
64.21323	189.4598
60.07455	150.462
57.61265	148.8138
66.2314	176.9834
53.15213	182.6959
56.11033	161.2404
55.2948	190.1691
60.50972	169.5429
63.83561	148.3607
65.33804	164.7481
54.50226	167.4611
65.59086	174.1593
55.52423	167.5852
67.02337	175.3402
62.62035	170.9605
68.87993	170.869
53.89413	169.9824
54.96583	172.2888
52.12436	188.0458
50.40455	196.4013
62.84082	165.8279
56.22349	155.3835
57.65475	156.3143
61.75107	175.7196
60.88272	170.8627
62.35261	170.2354
60.57066	176.973
63.32021	181.3175
68.06532	184.0032
62.78009	165.8424
52.65252	182.4191
66.70305	154.5413
51.62308	145.1807
56.02632	178.2507
57.55016	155.53
59.998	209.5686
62.53957	140.5118
61.46648	167.0732
70.13264	166.7734
60.09332	177.3142
61.39649	158.3873
60.20784	175.4754
51.45882	153.2652
49.993	163.1174
61.18023	150.3906
55.6152	161.9006
61.40898	149.1997
57.55849	180.9661
55.819	178.2533
59.39731	176.8483
59.94743	150.9343
56.59401	146.71
68.53324	175.1023
62.87226	173.1839
65.50766	169.1627
61.04492	168.7064
62.38285	185.0806
55.54364	162.3449
53.17127	175.9443
56.12465	162.7634
63.39455	182.122
61.88589	140.1003
67.47816	154.0689
60.24467	184.4114
64.1793	171.2866
